WardCode,WARDNAME,Population,NumberOfCrimes,CrimeRatePer100kPeople,RatePercentile,RateRank,HighCrimeRate,TotalCrimes,AvgMonthly,TrendChange,TrendPct,TrendSlope,Months,FirstMonth,LastMonth
N08000701,BALLINDERRY,5307.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000704,BALLYMACBRENNAN,3639.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000705,BALLYMACOSS,9874.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000706,BEECHILL,4900.0,1.0,20.408163,0.9155844155844156,40,True,1.0,1.0,0.0,0.0,0.0,1.0,2025-10,2025-10
N08000707,BLARIS,3680.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000708,CAIRNSHILL,3997.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000709,CARROWREAGH,6357.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000710,CARRYDUFF EAST,3711.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000711,CARRYDUFF WEST,3406.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000712,DERRYAGHY,11023.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000713,DROMARA,4632.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000714,DRUMBO,3604.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000715,DUNDONALD,3440.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000717,GALWALLY,2557.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000718,GLENAVY,6252.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000719,GRAHAM'S BRIDGE,2793.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000720,HARMONY HILL,2937.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000721,HILDEN,2973.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000722,HILLHALL,3403.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000723,HILLSBOROUGH,4063.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000725,KNOCKMORE,4891.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000726,LAGAN,,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000727,LAGAN VALLEY,3125.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000728,LAMBEG,3121.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000729,LISNAGARVEY,2538.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000730,MAGHABERRY,5392.0,1.0,18.545994,0.9090909090909091,43,True,1.0,1.0,0.0,0.0,0.0,1.0,2025-10,2025-10
N08000731,MAGHERALAVE,4034.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000732,MAZE,4050.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000733,MOIRA,5426.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000735,NEWTOWNBREDA,2689.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000736,OLD WARREN,2770.0,1.0,36.10108,0.9567099567099567,21,True,1.0,1.0,0.0,0.0,0.0,1.0,2025-10,2025-10
N08000737,RAVERNET,,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000738,STONYFORD,,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000739,WALLACE PARK,3656.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000801,ACADEMY,2048.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000803,ARDEEVIN,3745.0,1.0,26.70227,0.9329004329004329,32,True,1.0,1.0,0.0,0.0,0.0,1.0,2025-10,2025-10
N08000804,BALLEE and HARRYVILLE,,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000805,BALLYCARRY and GLYNN,,1.0,0.0,0.4512987012987013,47,True,1.0,1.0,0.0,0.0,0.0,1.0,2025-10,2025-10
N08000806,BALLYKEEL,1723.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000807,BONEYBEFORE,1675.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000808,BRAIDWATER,,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000809,BROUGHSHANE,3560.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000810,BURLEIGH HILL,2767.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000811,CAIRNCASTLE,,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000812,CARNLOUGH and GLENARM,,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000813,CASTLE,,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000814,CASTLE DEMESNE,2637.0,2.0,75.843765,0.9935064935064936,4,True,2.0,2.0,0.0,0.0,0.0,1.0,2025-10,2025-10
N08000815,CRAIGYHILL,1383.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000816,CULLYBACKEY,2857.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000817,CURRAN and INVER,,1.0,0.0,0.4512987012987013,47,True,1.0,1.0,0.0,0.0,0.0,1.0,2025-10,2025-10
N08000818,FAIR GREEN,2091.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
N08000819,GALGORM,3313.0,0.0,0.0,0.4512987012987013,47,True,,,,,,,,
