Cluster,Latitude,Longitude,CrimeCount
410,54.227303,-5.923242,7
411,54.25224,-6.2235274,6
412,54.51029,-7.072159,11
413,54.473763,-7.650466,8
414,54.573658,-6.827394,5
415,54.536186,-6.683226,5
416,54.236652,-5.988701,7
417,54.580284,-6.5917206,17
418,54.564087,-5.8621936,22
419,54.676044,-6.183283,5
420,55.010124,-6.413821,58
421,55.09911,-6.405125,7
422,54.876617,-6.630482,16
423,54.495777,-6.560248,53
424,54.57598,-6.677752,50
425,54.25806,-6.562947,26
426,54.630997,-5.892172,82
427,55.186333,-6.663102,9
428,54.56763,-6.122108,27
429,54.29236,-6.844706,24
430,54.61116,-5.601509,17
431,54.398113,-7.7525053,5
432,54.55175,-6.64329,21
433,54.32432,-5.8981023,14
434,54.422405,-5.535118,8
435,54.757248,-6.273197,9
436,54.65818,-6.7581873,10
437,54.56825,-5.856903,10
438,54.228836,-6.3509693,19
439,54.49205,-6.646229,17
440,54.863243,-6.3356724,11
441,54.225513,-6.587014,10
442,54.076344,-6.5070558,9
443,54.48811,-6.0689754,130
444,54.744205,-6.255877,12
445,54.710587,-7.5511656,30
446,54.33216,-6.682946,45
447,54.52601,-5.4719,5
448,54.275543,-6.4072633,5
449,54.474354,-6.075604,6
450,54.461926,-6.792498,10
451,54.495792,-6.8319983,24
452,54.59554,-6.0387425,23
453,54.6624,-5.776417,19
454,54.339737,-6.204424,11
455,54.657627,-5.7292204,58
456,54.31692,-7.57041,8
457,54.47957,-5.444906,6
458,54.607876,-7.244341,12
459,54.80481,-6.586774,10
460,54.657864,-6.8042436,19
461,54.530678,-5.9974923,118
462,54.55603,-5.5938025,13
463,54.249847,-6.321044,9
464,54.512287,-6.584928,9
465,54.496475,-6.207962,54
466,54.726246,-7.586618,5
467,54.378696,-6.0171323,71
468,54.845814,-5.807457,44
469,54.5968,-7.0514784,14
470,54.331257,-5.834382,14
471,54.596607,-6.122808,5
472,54.675694,-7.6255894,54
473,54.744045,-5.718268,16
474,54.69737,-6.035091,26
475,54.63993,-6.056201,7
476,54.47239,-5.676052,29
477,54.878437,-6.240687,7
478,54.110268,-6.003711,5
479,54.372494,-6.755532,7
480,54.8286,-6.0177345,7
481,54.35076,-5.684332,8
482,54.286743,-5.581695,6
483,54.62344,-5.85922,52
484,54.184135,-6.487369,49
485,54.884666,-6.716058,5
486,54.483612,-5.821859,7
487,54.295933,-7.6409073,35
488,54.469624,-6.7230644,34
489,55.106045,-6.695978,30
490,54.475952,-7.6985683,11
491,54.071316,-6.5333605,11
492,54.701077,-5.9594803,6
493,54.490173,-6.914734,12
494,54.2514,-7.2216773,9
