WARDNAME,Geo_Code,Mid_Year_Ending,Gender,Age_Group,Population_Estimate
BROWNSTOWN,95LL06,2020,All persons,All ages,3631
CHURCH,95LL07,2020,All persons,All ages,2529
CORCRAIN,95LL08,2020,All persons,All ages,3695
COURT,95LL09,2020,All persons,All ages,3307
DERRYTRASNA,95LL10,2020,All persons,All ages,5935
DONAGHCLONEY,95LL11,2020,All persons,All ages,4405
DRUMGASK,95LL12,2020,All persons,All ages,4612
DRUMGOR,95LL13,2020,All persons,All ages,2950
DRUMNAMOE,95LL14,2020,All persons,All ages,2509
EDENDERRY,95LL15,2020,All persons,All ages,3284
KERNAN,95LL16,2020,All persons,All ages,8026
KILLYCOMAIN,95LL17,2020,All persons,All ages,2702
KNOCKNASHANE,95LL18,2020,All persons,All ages,3789
MAGHERALIN,95LL19,2020,All persons,All ages,6006
MOURNEVIEW,95LL20,2020,All persons,All ages,2495
PARKLAKE,95LL21,2020,All persons,All ages,4621
TAGHNEVAN,95LL22,2020,All persons,All ages,3961
TAVANAGH,95LL23,2020,All persons,All ages,2402
THE BIRCHES,95LL24,2020,All persons,All ages,4163
WARINGSTOWN,95LL25,2020,All persons,All ages,4860
WOODVILLE,95LL26,2020,All persons,All ages,3774
ALTNAGELVIN,95MM01,2020,All persons,All ages,4964
BALLYNASHALLOG,95MM02,2020,All persons,All ages,3161
BANAGHER,95MM03,2020,All persons,All ages,3617
BEECHWOOD,95MM04,2020,All persons,All ages,2089
BRANDYWELL,95MM05,2020,All persons,All ages,2338
CARN HILL,95MM06,2020,All persons,All ages,2587
CAW,95MM07,2020,All persons,All ages,2781
CLONDERMOT,95MM08,2020,All persons,All ages,3014
CLAUDY,95MM09,2020,All persons,All ages,3513
CREGGAN CENTRAL,95MM10,2020,All persons,All ages,2725
CREGGAN SOUTH,95MM11,2020,All persons,All ages,2800
CREVAGH,95MM12,2020,All persons,All ages,5696
CULMORE,95MM13,2020,All persons,All ages,9054
EBRINGTON,95MM14,2020,All persons,All ages,2646
EGLINTON,95MM15,2020,All persons,All ages,4441
ENAGH,95MM16,2020,All persons,All ages,6277
FOYLE SPRINGS,95MM17,2020,All persons,All ages,3564
HOLLY MOUNT,95MM18,2020,All persons,All ages,5996
KILFENNAN,95MM19,2020,All persons,All ages,2864
LISNAGELVIN,95MM20,2020,All persons,All ages,3151
NEW BUILDINGS,95MM21,2020,All persons,All ages,3321
PENNYBURN,95MM22,2020,All persons,All ages,2364
ROSEMOUNT,95MM23,2020,All persons,All ages,2585
SHANTALLOW EAST,95MM24,2020,All persons,All ages,2459
SHANTALLOW WEST,95MM25,2020,All persons,All ages,7630
SPRINGTOWN,95MM26,2020,All persons,All ages,2977
STRAND,95MM27,2020,All persons,All ages,4223
THE DIAMOND,95MM28,2020,All persons,All ages,2241
VICTORIA,95MM29,2020,All persons,All ages,3605
WESTLAND,95MM30,2020,All persons,All ages,2059
ARDGLASS,95NN01,2020,All persons,All ages,3365
AUDLEY'S ACRE,95NN02,2020,All persons,All ages,2151
BALLYMAGLAVE,95NN03,2020,All persons,All ages,2912
BALLYMOTE,95NN04,2020,All persons,All ages,3046
BALLYNAHINCH EAST,95NN05,2020,All persons,All ages,2602
CASTLEWELLAN,95NN06,2020,All persons,All ages,3633
CATHEDRAL,95NN07,2020,All persons,All ages,3222
CROSSGAR,95NN08,2020,All persons,All ages,3424
DERRYBOY,95NN09,2020,All persons,All ages,3215
DONARD,95NN10,2020,All persons,All ages,3044
DRUMANESS,95NN11,2020,All persons,All ages,4128
DUNDRUM,95NN12,2020,All persons,All ages,2918
DUNMORE,95NN13,2020,All persons,All ages,3211
KILLOUGH,95NN14,2020,All persons,All ages,3058
KILLYLEAGH,95NN15,2020,All persons,All ages,3101
KILMORE,95NN16,2020,All persons,All ages,3310
MURLOUGH,95NN17,2020,All persons,All ages,2540
QUOILE,95NN18,2020,All persons,All ages,3046
SAINTFIELD,95NN19,2020,All persons,All ages,3555
SEAFORDE,95NN20,2020,All persons,All ages,3252
SHIMNA,95NN21,2020,All persons,All ages,2872
STRANGFORD,95NN22,2020,All persons,All ages,2933
TOLLYMORE,95NN23,2020,All persons,All ages,3808
ALTMORE,95OO01,2020,All persons,All ages,2858
AUGHER,95OO02,2020,All persons,All ages,2402
AUGHNACLOY,95OO03,2020,All persons,All ages,2988
BALLYGAWLEY,95OO04,2020,All persons,All ages,2757
BALLYSAGGART,95OO05,2020,All persons,All ages,3093
BENBURB,95OO06,2020,All persons,All ages,3099
CALEDON,95OO07,2020,All persons,All ages,2794
CASTLECAULFIELD,95OO08,2020,All persons,All ages,2980
CLOGHER,95OO09,2020,All persons,All ages,2369
COALISLAND NORTH,95OO10,2020,All persons,All ages,3723
COALISLAND SOUTH,95OO11,2020,All persons,All ages,2776
COALISLAND WEST AND NEWMILLS,95OO12,2020,All persons,All ages,3146
COOLHILL,95OO13,2020,All persons,All ages,3224
DONAGHMORE,95OO14,2020,All persons,All ages,2676
DRUMGLASS,95OO15,2020,All persons,All ages,2619
FIVEMILETOWN,95OO16,2020,All persons,All ages,2303
KILLYMAN,95OO17,2020,All persons,All ages,3093
KILLYMEAL,95OO18,2020,All persons,All ages,3223
MOY,95OO19,2020,All persons,All ages,3324
MOYGASHEL,95OO20,2020,All persons,All ages,2176
MULLAGHMORE,95OO21,2020,All persons,All ages,2609
WASHING BAY,95OO22,2020,All persons,All ages,3328
BALLINAMALLARD,95PP01,2020,All persons,All ages,2593
BELCOO AND GARRISON,95PP02,2020,All persons,All ages,2761
BELLEEK AND BOA,95PP03,2020,All persons,All ages,2654
BOHO CLEENISH AND LETTERBREEN,95PP04,2020,All persons,All ages,3544
BROOKEBOROUGH,95PP05,2020,All persons,All ages,2645
CASTLECOOLE,95PP06,2020,All persons,All ages,3917
DERRYGONNELLY,95PP07,2020,All persons,All ages,2901
DERRYLIN,95PP08,2020,All persons,All ages,2924
DEVENISH,95PP09,2020,All persons,All ages,1637
DONAGH,95PP10,2020,All persons,All ages,2447
ERNE,95PP11,2020,All persons,All ages,2476
FLORENCE COURT AND KINAWLEY,95PP12,2020,All persons,All ages,2890
IRVINESTOWN,95PP13,2020,All persons,All ages,2571
KESH EDERNEY AND LACK,95PP14,2020,All persons,All ages,3905
LISBELLAW,95PP15,2020,All persons,All ages,3090
LISNARRICK,95PP16,2020,All persons,All ages,2095
LISNASKEA,95PP17,2020,All persons,All ages,2612
MAQUIRES BRIDGE,95PP18,2020,All persons,All ages,3223
NEWTOWNBUTLER,95PP19,2020,All persons,All ages,2566
PORTORA,95PP20,2020,All persons,All ages,3201
ROSSLEA,95PP21,2020,All persons,All ages,2165
ROSSORRY,95PP22,2020,All persons,All ages,2544
TEMPO,95PP23,2020,All persons,All ages,2913
ANTIVILLE,95QQ01,2020,All persons,All ages,1440
BALLYCARRY,95QQ02,2020,All persons,All ages,2853
BALLYLORAN,95QQ03,2020,All persons,All ages,1050
BLACKCAVE,95QQ04,2020,All persons,All ages,1539
CARNCASTLE,95QQ05,2020,All persons,All ages,2829
CARNLOUGH,95QQ06,2020,All persons,All ages,2063
CENTRAL,95QQ07,2020,All persons,All ages,1876
CRAIGY HILL,95QQ08,2020,All persons,All ages,1383
GARDENMORE,95QQ09,2020,All persons,All ages,1857
GLENARM,95QQ10,2020,All persons,All ages,1790
GLYNN,95QQ11,2020,All persons,All ages,2003
HARBOUR,95QQ12,2020,All persons,All ages,1859
ISLAND MAGEE,95QQ13,2020,All persons,All ages,2535
KILWAUGHTER,95QQ14,2020,All persons,All ages,6148
TOWN PARKS,95QQ15,2020,All persons,All ages,1442
AGHANLOO,95RR01,2020,All persons,All ages,4603
BALLYKELLY,95RR02,2020,All persons,All ages,1733
COOLESSAN,95RR03,2020,All persons,All ages,1351
DUNGIVEN,95RR04,2020,All persons,All ages,2043
ENAGH,95RR05,2020,All persons,All ages,2578
FEENY,95RR06,2020,All persons,All ages,2335
FOREST,95RR07,2020,All persons,All ages,2444
GLACK,95RR08,2020,All persons,All ages,2201
GRESTEEL,95RR09,2020,All persons,All ages,4192
GREYSTONE,95RR10,2020,All persons,All ages,1213
MAGILLIGAN,95RR11,2020,All persons,All ages,2488
RATHBRADY,95RR12,2020,All persons,All ages,1344
ROESIDE,95RR13,2020,All persons,All ages,1435
THE HIGHLANDS,95RR14,2020,All persons,All ages,2156
UPPER GLENSHANE,95RR15,2020,All persons,All ages,2647
BALLINDERRY,95SS01,2020,All persons,All ages,5307
BALLYMACASH,95SS02,2020,All persons,All ages,4585
BALLYMACBRENNAN,95SS03,2020,All persons,All ages,3639
BALLYMACOSS,95SS04,2020,All persons,All ages,9874
BLARIS,95SS05,2020,All persons,All ages,3680
COLLIN GLEN,95SS06,2020,All persons,All ages,5712
DERRYAGHY,95SS07,2020,All persons,All ages,11023
DROMARA,95SS08,2020,All persons,All ages,4632
DRUMBO,95SS09,2020,All persons,All ages,3604
DUNMURRY,95SS10,2020,All persons,All ages,4241
GLENAVY,95SS11,2020,All persons,All ages,6252
HARMONY HILL,95SS12,2020,All persons,All ages,2937
HILDEN,95SS13,2020,All persons,All ages,2973
HILLHALL,95SS14,2020,All persons,All ages,3403
HILLSBOROUGH,95SS15,2020,All persons,All ages,4063
KILWEE,95SS16,2020,All persons,All ages,3140
